word,start,end,duration,rms_mean,zcr_mean,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,label
 addition,24.1,24.78,0.68,0.09335945,0.260364879,-178.11015,-2.04216,-6.1904063,39.953293,-41.64844,5.8798246,-21.693007,-9.921798,-5.5788198,-11.988572,-5.248103,-8.80202,-5.4121766,0
 to,24.78,25.44,0.66,0.057005417,0.248883929,-204.47014,-12.475197,-11.553386,53.898136,-38.553135,-1.5282956,-21.62492,-4.812144,-13.328493,-20.430191,3.8513362,-13.721575,-2.195804,0
 the,25.44,25.98,0.54,0.03534566,0.112620634,-321.31482,61.216927,1.5710752,46.23747,-36.72361,5.2857924,-6.55043,-25.23267,-4.3383036,-22.27974,1.0603709,-16.805056,-7.8173485,0
 blog,25.98,26.4,0.42,0.09208636,0.160295759,-160.80296,94.52422,-44.32374,4.9309316,-53.38814,33.823193,-22.050995,4.817143,-14.973393,-4.6210065,-4.955905,-12.328802,-9.602258,0
 make,26.4,26.84,0.44,0.04576499,0.204729353,-240.26865,33.961266,-19.615993,41.894268,-27.179737,-1.2820286,-22.950155,-17.778278,-2.7323058,-15.0194645,2.4772012,-20.622828,1.4576464,0
 room,26.84,27.16,0.32,0.042669,0.128773082,-310.28247,45.39409,-33.518543,41.859035,-8.048867,20.74636,-29.417578,-14.748284,-8.990235,-17.442442,5.796106,-19.889288,-6.10183,0
 for,27.16,27.42,0.26,0.030282356,0.282769097,-219.49959,17.026466,-4.7927356,29.225285,-0.33509317,-1.5204092,-20.619854,-10.553953,-15.693163,-11.159291,-2.5130641,-19.199463,-6.014166,0
 this,27.42,27.74,0.32,0.0537001,0.315607244,-195.85219,-27.394537,-2.1778219,26.782948,-13.577641,-2.3085854,-26.233702,-12.590937,1.0327164,-1.3220379,-9.668757,-9.401553,5.2244525,0
 stuttering.,27.74,28.78,1.04,0.04882455,0.266128078,-240.04025,24.589798,-45.033535,22.08913,-26.32248,13.1223135,-20.262453,-6.1805162,-1.8999006,-2.5550816,-1.8985577,-7.6768894,-2.7760015,2
 Today,29.48,29.9,0.42,0.0822428,0.349888393,-174.13881,-33.303757,-25.988728,45.62785,-36.30535,-4.7770195,-25.561672,-0.2605843,0.36260074,-6.7308707,-3.4042404,3.482523,1.0431297,0
 I'm,29.9,30.22,0.32,0.10457376,0.179909446,-143.2678,18.650454,-35.766518,56.943417,-54.468876,-21.420755,-8.824454,-20.775017,-13.268418,-13.720046,10.977765,-25.786573,6.05739,0
 going,30.22,30.48,0.26,0.041466884,0.132486979,-243.71973,75.903076,-20.687551,22.86691,-35.69738,10.885399,-6.4170065,-27.93835,-8.407528,-28.985647,11.490052,-29.669228,6.8721275,0
 to,30.48,30.88,0.4,0.060526665,0.341308594,-223.74197,-40.971592,19.048876,61.96051,-27.275755,-2.6456845,-10.601998,-10.826504,-17.361332,-25.616032,3.4359257,-18.907265,-6.31042,0
 introduce,30.88,31.68,0.8,0.04968495,0.250939002,-247.1023,-17.007357,1.936985,74.27013,-28.842072,-7.7788477,-15.129217,-12.82535,-5.218564,-29.519258,-7.948052,-15.8071785,-8.173558,0
 his,31.68,32.92,1.24,0.035202842,0.390900441,-283.1692,-52.776386,-9.74606,56.83617,-20.54405,-2.0620356,-10.6835,2.7264812,-3.961294,-13.405729,-5.3022146,-2.4442892,-12.230708,0
 stories.,32.92,33.58,0.66,0.0789961,0.354747954,-167.5358,1.3565023,-39.84054,13.837962,-17.842096,0.670608,-26.704136,-10.364529,2.2788835,-11.856773,-4.297227,-1.179433,-5.1439834,0
 She,34.38,34.8,0.42,0.12545861,0.396623884,-249.94475,-114.41225,26.602087,78.585625,-46.705006,6.480227,3.4909134,-11.335825,-1.0494059,-11.242637,-5.881292,-2.9530988,-9.031195,0
 asks,34.8,35.6,0.8,0.0734832,0.344350962,-213.12253,-22.968689,-18.58016,44.030827,-34.71942,-8.826751,-3.727954,-9.507412,1.5550643,-2.631012,-10.167771,-6.837819,-5.2029123,0
 him,35.6,36.06,0.46,0.055406842,0.351920573,-196.6536,-14.647675,-34.5381,23.593071,-24.964922,-12.335921,-9.420855,-1.0540372,1.1158111,-7.924826,-10.101425,-4.7901735,-4.361337,0
 and,36.06,37.52,1.46,0.026975665,0.281005859,-337.67575,12.698289,-18.44481,43.444767,-21.466219,8.577323,-5.4793468,-2.3257623,-7.3559823,-9.1501665,-4.4772496,-5.4643974,-4.1374903,0
 my,37.52,39.16,1.64,0.040622685,0.170917218,-284.4586,58.616734,-22.517832,14.87756,-26.206553,19.768612,-14.408508,-8.9074545,-8.508326,-2.0635283,-13.395395,-11.469023,-10.353729,0
 goal,39.16,39.52,0.36,0.10838482,0.156046549,-137.66335,54.12383,-29.017088,26.010485,-75.10752,3.339585,-15.144046,-13.879603,3.7189674,-17.997856,-3.303053,-17.302267,1.4146638,0
 is,39.52,40.12,0.6,0.082246974,0.206003289,-166.73712,28.323023,-10.282254,30.98914,-55.062206,-4.7452865,-21.382746,-14.053143,-4.0079274,-18.28836,-6.023963,-6.275387,3.4717226,0
 to,40.12,40.7,0.58,0.06117003,0.336322985,-222.80276,-49.42575,-3.4430883,53.444065,-21.959185,-1.3665055,-12.33089,-12.330541,0.90041924,-20.506372,-3.845948,-6.7880063,-6.5309086,0
 introduce,40.7,42.42,1.72,0.03540255,0.24202474,-340.50903,37.69671,-4.8175006,43.071636,-23.945133,16.022242,-7.7233896,-7.417505,-7.355245,-15.282261,-3.9567807,-7.7924623,-6.5991673,0
 a,42.42,42.86,0.44,0.089675345,0.375941685,-150.42691,-32.90346,-2.741358,25.832266,-31.43424,-3.6166549,-14.710968,-8.456889,-10.05858,-19.07117,-11.172409,-4.506233,-13.362017,0
 little,42.86,42.98,0.12,0.09401986,0.137939453,-115.14359,73.42236,-20.178387,9.512087,-68.77737,25.050495,-13.142449,-45.660744,3.4575148,-13.123714,2.5440032,-5.2375727,-1.2258612,0
 bit,42.98,43.2,0.22,0.08212006,0.134905134,-178.61961,52.085896,-12.455821,48.27854,-43.877247,-2.6989067,-19.013046,-16.027052,5.5757957,-16.622314,-6.2104516,-10.861437,10.533487,0
 of,43.2,43.32,0.12,0.07369006,0.122680664,-158.06812,61.48429,-66.88047,44.34325,-29.612774,-18.705107,-24.76343,-31.176773,0.49674606,-4.575368,-1.201796,-14.72942,6.436341,0
 the,43.32,43.5,0.18,0.045672577,0.163411458,-189.74634,32.173656,0.61144763,38.05541,-32.711666,-0.4476436,-37.37382,-22.28433,6.3016667,-5.3981743,-18.301748,-12.962804,8.0219,0
 male,43.5,43.92,0.42,0.10120976,0.105015346,-172.94714,31.380377,-23.112614,36.054344,-26.304535,-10.790041,-19.110249,-12.548442,-6.099896,-16.70376,-4.487879,-18.695286,-1.5946637,0
 perspective,43.92,45.04,1.12,0.039734986,0.276869032,-227.7304,33.11392,-22.641916,9.781624,-24.479319,18.53418,-33.328697,-0.20596293,0.67319864,-7.5320716,-8.335655,-0.16928202,-2.4980595,1
 on,45.04,45.9,0.86,0.058351748,0.254756221,-179.51671,20.428286,-44.862473,23.90504,-28.726976,8.370942,-19.713358,-2.6743042,3.140416,-8.66847,-4.845959,-9.0407295,-3.9347303,0
 this,45.9,46.28,0.38,0.05900344,0.324829102,-196.49126,-12.917209,-6.449585,32.990334,-10.1829,-10.743623,-17.158482,1.583753,-7.409046,-8.956298,-9.2640295,-7.4250693,-1.1740125,0
 crazy,46.28,47.48,1.2,0.043594964,0.405106394,-257.39145,-50.497784,-36.54832,35.307983,-10.869647,6.749486,-20.220701,6.5076995,0.69089854,-11.792678,-6.469823,-2.7691429,-4.849203,0
 thing,47.48,47.94,0.46,0.09286589,0.345540365,-148.36504,-35.170734,-1.0814728,57.709034,-27.442863,-19.17837,-5.7456155,-9.1312475,-7.6292224,-21.755198,-9.919114,-11.474734,-7.468766,0
 that,47.94,48.24,0.3,0.05861162,0.097265625,-170.03555,33.16082,-22.151108,32.91595,-30.082836,-23.179821,-19.67126,-19.191856,-13.690676,-14.533582,-4.732053,-17.144484,-5.2663236,0
 we,48.24,48.46,0.22,0.03412879,0.126046317,-289.9754,65.72198,-4.742804,43.83598,-38.163303,-11.23791,6.706693,-27.60411,2.1167493,-33.763252,-1.8921211,-22.612232,-2.3141613,0
 all,48.46,48.72,0.26,0.106597714,0.145833333,-172.19844,62.534763,-33.977196,20.070103,-101.33688,25.078575,-15.563755,-16.779022,2.959076,-18.345108,-2.6344512,-11.153726,-1.5134931,0
 know,48.72,49.02,0.3,0.043712977,0.102294922,-228.7288,50.659676,-23.303783,30.915401,-43.332134,6.328326,-18.639824,-22.616693,0.24667159,-10.664499,-3.22387,-21.628338,-9.271685,0
 as,49.02,49.54,0.52,0.052796442,0.121237362,-206.07553,61.92484,-50.72374,6.4457865,-52.699757,6.077089,-9.351432,-7.8740144,-0.51664203,-3.7611074,-18.378075,-6.7825933,-7.501977,0
 stuttering.,49.54,50,0.46,0.046812423,0.385481771,-203.61108,-12.4147005,-30.85256,14.466943,-24.906757,4.4411483,-27.860027,-8.46577,1.4547944,1.4442638,-6.3848896,-3.003104,-3.695286,0
 So,50.66,51.08,0.42,0.049927056,0.400146484,-239.27727,-29.734829,-10.997293,34.044216,-14.441962,13.515122,-15.986562,-4.60138,3.3221033,-6.993493,-1.9439136,-3.6213336,2.8016164,0
 for,51.08,51.34,0.26,0.038414832,0.259711372,-196.09032,34.914158,-31.51311,-1.889826,-17.098154,7.623603,-22.929329,-8.831144,0.3968031,-16.17629,-10.095607,-11.116555,-1.507936,0
 my,51.34,51.66,0.32,0.067533575,0.107466264,-185.7353,52.035023,-70.723366,12.518937,-35.813534,3.0361297,-13.618232,-2.984043,-7.000537,-11.770812,-10.049744,-27.13546,-1.6548043,0
 debut,51.66,52.54,0.88,0.05140862,0.204101563,-269.5097,3.7900813,3.512476,55.382397,-26.828754,-16.468122,-6.2885537,-12.862669,-16.75459,-13.276441,-9.499901,-18.944584,-8.530982,0
 male,52.54,53.64,1.1,0.050085373,0.148088728,-261.2533,28.012531,-18.843493,41.28878,-30.304111,-10.617995,-3.7277532,-20.474783,-7.611784,-16.172234,-4.8439555,-18.48319,-11.776051,0
 guest,53.64,54.32,0.68,0.06490266,0.159690163,-213.64691,55.273705,-31.766298,10.778218,-70.994774,11.32819,-16.64011,1.3585216,-1.7588458,-0.25095508,-13.455044,-6.5109906,-8.152987,0
 I'm,54.32,54.94,0.62,0.024768166,0.3609375,-269.1377,0.95426786,-28.676926,6.499842,-13.12959,7.7894874,-12.3624935,0.048079442,-4.061062,2.5337393,-11.951433,-7.05475,-6.090934,0
 really,54.94,55.44,0.5,0.040022522,0.155548096,-306.43552,37.40707,-23.924301,42.4306,-19.36525,-8.935314,-10.717659,-26.930481,-0.85881406,-26.882933,0.64532197,-13.050457,-10.499405,0
 excited,55.44,55.92,0.48,0.03993607,0.314819336,-199.18686,-7.2255573,-26.899796,28.684822,-29.959871,-15.836203,-21.196308,-8.263397,0.29209262,-14.108042,-0.64108825,-9.10747,0.17903656,0
 to,55.92,56.36,0.44,0.02676613,0.241210938,-244.38147,17.68931,-19.691294,50.840336,-41.431126,-7.9851937,-33.825336,-0.6032099,-7.703097,-10.86631,-7.236691,-3.7226202,-0.64698464,0
 say,56.36,56.66,0.3,0.0452844,0.399853516,-191.79346,-38.00832,0.39321548,15.28181,-16.71487,-16.039474,-17.7425,-1.6701221,-1.5908422,-4.7870507,-7.385031,0.8927523,-5.5332212,0
 hello,56.66,57.18,0.52,0.049397003,0.156709559,-203.48755,54.93893,-30.595312,7.71095,-64.534065,15.950889,-17.15353,-8.570698,-12.794893,3.497936,-11.577664,1.8762057,-6.295532,0
 to,57.18,57.6,0.42,0.047441576,0.238002232,-246.44504,-0.20634024,14.511111,38.9289,-34.623676,3.5466905,-14.921217,-8.858097,-12.131686,-15.061399,-7.761336,-9.431259,-6.4534593,0
 Alan.,57.6,58.6,1,0.06561538,0.271179199,-215.79703,-7.4559436,-41.362797,27.47219,-37.83633,9.407267,-9.987919,-1.0264264,7.1797466,-22.308167,-9.523624,-7.6716022,-10.372009,0
 Hi,59.04,59.36,0.32,0.059600923,0.300381747,-242.37393,-31.035255,-57.596523,23.563005,-26.06235,6.795402,-9.187355,0.1705102,5.9274535,-5.5102596,-3.8735626,-6.834479,-1.5211486,0
" Alan,",59.36,59.72,0.36,0.08848318,0.153605143,-166.22382,6.1351852,-58.458797,12.06147,-40.292145,2.4991224,-9.020644,0.93970823,9.216559,-10.062189,2.8998652,-17.513384,-7.860109,0
 how,59.9,60.14,0.24,0.058227144,0.24041748,-180.0413,5.475256,-75.410965,5.041482,-43.637306,9.063205,-7.37325,-0.36822212,-5.455719,-16.394077,0.031336784,-12.293677,-4.1283765,0
 are,60.14,60.24,0.1,0.057045043,0.100708008,-231.42163,86.9008,-71.81886,23.543865,-13.360334,-0.98325205,-46.17682,-7.295421,16.226917,-33.43983,14.712069,1.779932,-14.49527,0
 you?,60.24,60.5,0.26,0.07812902,0.221137153,-173.6759,9.779531,-49.990715,56.701183,-44.616604,-12.494805,-25.63942,-9.292441,4.164026,-22.029081,24.771116,-23.48005,4.912103,0
 Good,62.3,62.48,0.18,0.06724583,0.050455729,-263.01166,163.15253,-44.265865,42.109055,-3.947255,12.499419,-19.804289,-24.660797,-19.980036,-5.5828185,-13.502621,1.4491882,-18.070108,0
 afternoon.,62.48,63.12,0.64,0.117611974,0.10844494,-208.31859,134.5525,-44.456993,28.659307,-31.227665,7.6288686,-16.25843,-6.8012366,-27.842417,-6.715462,-2.995441,-8.07283,-14.584081,0
 It's,63.74,64.32,0.5799375,0.03531166,0.200812089,-331.79312,72.12449,0.55999094,80.375305,-11.804097,14.869383,-31.166183,14.31539,-20.943079,-6.033853,-13.015628,-4.4748826,-11.417265,0
 good,64.32,64.66,0.3400625,0.056392018,0.074884588,-326.49683,130.15431,-4.4267673,22.727419,-13.252923,23.427025,-3.7774312,-9.907306,-26.007576,-9.985188,-4.893015,-10.163082,-12.611248,0
 afternoon,64.66,65.3,0.64,0.103857,0.081426711,-233.07845,139.67522,-33.958206,27.995035,-24.835371,3.6190658,-13.656516,-6.1220675,-26.189526,-4.497555,-5.118009,-10.839104,-11.279808,0
 here,65.3,65.82,0.52,0.096574455,0.067813649,-252.57631,136.06621,-12.633792,54.162113,-20.531437,1.9708697,-25.28947,3.0540285,-24.464273,-22.502918,-5.228536,-15.395854,-12.654266,0
 in,65.82,66.12,0.3,0.0972482,0.046240234,-228.02959,144.72922,-46.137146,78.161285,8.012323,-17.415379,-26.99566,-4.468335,-25.78555,-20.820467,-4.72397,-10.324634,-19.53661,0
 Wales,66.12,66.5,0.38,0.13199812,0.053833008,-203.75356,142.31874,-38.429947,43.98593,-16.258097,-10.583034,-36.635654,4.2660213,-21.11042,-19.971987,5.023494,-8.179379,-6.7476563,0
 in,66.5,66.92,0.42,0.104244694,0.157052176,-202.96707,119.7873,-22.120432,33.856792,-15.259913,-2.0630472,-23.092869,1.9782008,-44.462215,-6.6382327,-16.542156,-10.601096,-9.99288,0
 the,66.92,67.06,0.14,0.07102627,0.039746094,-237.81909,112.67446,-33.485134,81.540794,-1.4053242,-15.151484,-0.59744775,-3.8025804,-18.841885,-23.120682,-17.050322,-4.951173,-23.342443,0
 United,67.06,67.38,0.32,0.08213966,0.06081321,-227.08818,146.64934,-63.906128,60.33826,-4.0257707,-17.9913,-18.61855,-3.031839,-16.407143,-7.7414427,-10.668961,-7.271922,-22.364372,0
 Kingdom.,67.38,68,0.62,0.041567415,0.091308594,-312.6583,107.87048,-28.641165,71.04045,-9.988795,-12.488764,-8.262811,0.5588707,-27.579489,-10.644659,-6.2021627,-7.287478,-10.66427,0
 I,68.54,69.4,0.86,0.048369985,0.196831597,-361.71558,87.69458,-36.6512,12.539342,-22.224339,14.425952,-17.64979,3.388273,-12.396338,5.627631,-3.9328864,-5.908135,-6.521056,0
 suspect,69.4,70.18,0.78,0.05028831,0.204375,-281.12732,83.045555,-0.85400695,45.654694,-6.7182,23.949211,-29.370283,16.509012,-19.834848,7.3366146,-8.790404,-1.0509925,-6.7014523,0
 it's,70.18,70.78,0.6,0.052356232,0.234400699,-301.20157,75.719055,-21.311844,35.26627,-0.04484724,-1.642457,-38.586823,26.381418,-21.837786,3.243118,-11.964738,-3.4353848,-6.3837485,0
 still,70.78,71.06,0.28,0.16017762,0.075520833,-201.13136,134.13298,-42.774895,30.660814,-24.4838,-12.5308075,-30.51725,-8.895445,-26.579752,-10.925805,-12.191606,-9.343099,-2.9794219,0
 morning,71.06,72,0.94,0.06428937,0.107210286,-352.36487,131.50014,3.342832,16.480267,-29.841602,0.5115608,-15.789427,-2.2559063,-13.707347,-5.7473555,-1.459831,-13.646128,-9.022664,0
 with,72,72.7,0.7,0.05687429,0.067072088,-342.8341,126.42171,-4.036363,52.09825,-10.873963,-8.453044,-13.819132,0.22291493,-19.946302,-15.572085,-1.1523683,-10.971225,-13.222858,0
 you,72.7,73.14,0.44,0.07919007,0.056710379,-285.78372,95.72931,-25.840666,81.02696,10.870753,-6.987333,-18.399267,11.240789,-12.542035,-24.823507,-9.012326,-5.5021415,-16.448503,0
 or,73.14,73.5,0.36,0.046299662,0.062011719,-365.6973,173.08305,51.201828,19.879679,-40.64181,-28.710337,-28.307669,-7.9502683,-9.260434,-3.6526098,-8.599347,-14.4636,-12.027013,0
 just,73.5,73.98,0.48,0.06692872,0.180267334,-275.35803,78.07576,-14.407648,47.061638,-14.301226,13.018133,-23.55596,12.262744,-18.00545,6.249021,-10.444397,-0.39758432,-5.103758,0
 into,73.98,74.7,0.72,0.0438731,0.220490829,-318.55148,53.602146,-8.963167,49.36845,-20.043825,4.0030484,-27.064756,14.90071,-23.224968,-1.2368479,-9.85156,-8.1871195,-4.4375806,0
 the,74.7,74.9,0.2,0.13424659,0.036900112,-182.1034,124.36827,-36.948097,46.733913,5.4562554,-13.316865,-42.670982,3.714308,-32.073593,-12.503606,-16.464764,-16.034079,-12.953598,0
 afternoon,74.9,75.48,0.58,0.09459326,0.086502878,-236.97743,138.58331,-31.333727,29.119915,-25.196455,6.4666104,-14.153858,-1.7882106,-29.900972,-8.175799,-3.4077077,-10.495195,-11.610459,0
 in,75.48,76.4,0.92,0.043435264,0.127205684,-363.48157,100.91481,-10.727289,47.946987,-9.481889,-6.7896085,-10.647362,4.081436,-20.371399,-13.152838,-8.475044,-6.0500507,-8.749397,0
 the,76.4,76.66,0.26,0.07428443,0.048773872,-265.47406,116.85985,-22.715275,91.13669,-0.83915067,-20.227707,-4.7706532,-0.9118786,-27.985664,-17.157763,-10.458809,-12.269601,-20.012257,0
 New,76.66,77.06,0.4,0.063935846,0.047250601,-305.76193,117.2609,-14.287411,97.77294,5.3881345,-19.642244,-11.250047,-6.2242985,-16.31465,-24.385681,-12.711442,-7.0372086,-27.274963,0
 York,77.06,77.38,0.32,0.076266885,0.041592685,-291.95236,165.01149,-4.731537,32.341644,-25.18435,-10.163016,-14.726822,-6.3627367,-1.544503,-16.808437,-18.35849,-3.8957353,-20.53435,0
 area.,77.38,77.82,0.44,0.06895611,0.084333147,-223.59451,149.38728,-77.35549,63.793415,-3.6337397,-15.144777,-42.283623,-0.14807594,-21.275768,-17.76438,-8.196418,-7.005868,-6.2996345,0
 That,78.22,78.96,0.74,0.036929242,0.23811849,-328.93277,32.33938,-6.30601,17.095251,-17.47822,6.7273192,-16.57186,-2.1685698,-17.453459,1.262184,-1.6906834,-10.551244,3.6513608,0
 is,78.96,79.2,0.24,0.0948986,0.202697754,-123.77524,-8.905205,-24.263119,31.09859,-28.732533,-9.726469,-39.036903,-3.147249,-3.2419841,-11.516565,-4.8723373,-5.6333466,10.363663,0
 correct.,79.2,79.58,0.38,0.10447065,0.283650716,-157.7558,6.4197865,-46.721603,0.7316723,-17.7347,6.3209777,-52.653942,-1.4805026,1.3962307,-3.5979252,-6.4648476,-15.852494,4.628055,0
 It's,83.42,84.3,0.88,0.024874704,0.262398856,-319.29718,-7.0968018,1.3773195,38.807903,-19.441523,3.532719,-5.820976,-14.236962,-17.624874,-20.328161,-1.6770464,-10.047835,-10.15989,0
 time,84.3,84.58,0.28,0.082468614,0.150282118,-181.50291,16.709846,-92.4866,20.163425,-42.795948,20.707542,-9.142551,3.7838347,3.020175,-4.6953526,-11.515667,-17.943525,-6.303194,0
 and,84.58,85.36,0.78,0.024122925,0.284140625,-307.525,-11.532043,-23.207586,53.56182,-36.23476,4.088801,-13.684101,7.6288033,-9.965765,-16.473194,-1.4238416,-7.8900814,-8.632397,0
 it's,85.36,85.78,0.42,0.047306,0.24054827,-200.35832,0.2352284,-14.031274,37.63892,-31.688242,-7.020636,-34.187916,0.5773841,-6.2820435,-27.222637,-2.3845222,-8.932232,-2.1613743,0
 a,85.78,85.9,0.12,0.019435186,0.071655273,-271.07666,62.597305,-14.416845,24.398895,-17.851374,-16.062424,-35.57716,-15.472002,-4.0941596,-25.685612,-5.6703224,-9.406124,0.97573936,0
 beautiful,85.9,86.32,0.42,0.033264477,0.299560547,-237.77617,4.166914,-19.560017,48.251404,-27.649397,-5.259176,-15.772807,-13.002691,-7.913803,-17.233955,-0.054669414,-10.574187,-8.075227,0
 Saturday,86.32,87.58,1.26,0.0441797,0.46451416,-239.22237,-37.09256,-17.394909,3.5295691,-29.494,9.221575,-6.508269,-0.9629946,5.114816,-9.342076,-0.6913963,-4.4238424,2.5228379,2
 afternoon,87.58,88.56,0.98,0.06493794,0.252535912,-202.45912,0.89261407,-39.08082,55.13868,-37.215557,-17.634117,-16.006798,-7.9245048,-9.081085,-17.105173,3.660299,-11.69471,-1.7501209,0
 here,88.56,89.06,0.5,0.055914413,0.163146973,-235.3616,16.730358,-33.268898,60.702183,-37.796043,-8.173893,-19.976913,-8.254952,-6.8281255,-30.989973,11.185325,-11.516944,-0.7107022,0
 kind,89.06,90,0.94,0.04336332,0.334130859,-252.5883,-20.99169,-48.217392,26.858192,-13.78208,10.978948,-23.597748,9.674626,3.301121,-14.742918,-3.7312315,-6.426,-0.34662023,0
 of,90,90.24,0.24,0.046813082,0.197875977,-198.6517,13.165216,-10.612215,38.525032,-36.22644,6.8330493,-17.327053,-9.411957,-12.116793,-22.495003,3.586873,-12.610971,-10.445897,0
 chilly,90.24,90.6,0.36,0.11159309,0.386149089,-169.9037,-61.49448,-7.438022,29.081266,-37.38691,22.145334,-19.951694,-9.423673,2.098783,-6.272175,2.5833352,2.8007345,1.9972798,0
 but,90.6,91.14,0.54,0.053365,0.22254136,-260.29828,30.130505,-11.886654,22.622547,-33.140644,0.9034299,-11.867555,-17.107615,-6.5646443,-15.568211,3.4511175,-11.951882,1.0427433,0
 it's,91.14,91.38,0.24,0.036775403,0.327575684,-224.15498,-14.472498,-15.550699,28.925129,-5.7238984,-13.003782,-26.959555,-6.0739937,1.5549023,-16.777225,-1.6955581,-7.6750097,4.43843,0
 one,91.38,91.54,0.16,0.03890488,0.138020833,-231.22595,37.77136,-11.275971,26.50205,-43.287495,14.155045,-12.387086,-4.389668,-9.427169,-9.947147,4.259981,-14.135899,-4.904625,0
 of,91.54,91.64,0.1,0.043719243,0.147338867,-196.29819,34.541016,-30.505608,38.008007,-32.738678,11.179476,-23.177608,-16.918505,16.74754,-15.025785,7.362832,-21.795065,4.6061115,0
 those,91.64,91.84,0.2,0.06535592,0.201102121,-202.83737,7.618192,-23.835333,23.091822,-50.069363,29.604588,-36.462635,-20.213587,-7.9628997,-5.3839607,0.22004427,-18.820772,2.7131274,0
 days,91.84,92.18,0.34,0.05654452,0.263316761,-200.1426,-22.031418,0.6381651,49.98524,-26.973772,-6.1046414,-28.11629,3.2598495,-16.792334,-19.602442,-0.7120457,-14.603344,-6.9298234,0
 where,92.18,92.66,0.48,0.069041416,0.239837646,-195.53723,15.649769,-23.731842,22.059034,-15.190811,-2.6679268,-38.92517,4.2330885,-4.102709,-17.328014,-0.886034,-7.4825735,-4.925208,0
